time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-03-07 00:20:00	30	0.98	271.7	0.73	-0.65	0.04	0.14	1.06E+07	*	0
2025-03-07 00:20:00	40	0.64	245.0	0.62	-0.17	0.04	0.15	4.65E+06	*	0
2025-03-07 00:20:00	50	0.66	157.6	0.20	0.63	0.03	0.17	2.98E+06	*	0
2025-03-07 00:20:00	60	0.84	133.8	-0.09	0.84	0.31	0.15	2.48E+06	*	0
2025-03-07 00:20:00	70	0.90	113.7	-0.40	0.81	0.20	0.18	1.99E+06	*	0
2025-03-07 00:20:00	80	0.91	95.9	-0.63	0.65	0.15	0.15	6.95E+05	*	0
2025-03-07 00:20:00	90	0.97	73.3	-0.89	0.39	0.11	0.13	5.06E+05	*	0
2025-03-07 00:20:00	100	1.19	64.2	-1.15	0.29	0.10	0.13	3.26E+05	*	0
2025-03-07 00:20:00	110	1.40	60.8	-1.37	0.26	0.07	0.11	1.28E+05	*	0
2025-03-07 00:20:00	120	1.43	63.0	-1.40	0.32	0.06	0.10	8.03E+04	*	0
2025-03-07 00:20:00	130	1.35	63.7	-1.31	0.32	0.07	0.12	5.73E+04	*	0
2025-03-07 00:20:00	140	1.30	70.2	-1.22	0.45	0.09	0.12	5.77E+04	*	0
2025-03-07 00:20:00	150	1.34	76.9	-1.20	0.61	0.12	0.11	5.35E+04	*	0
2025-03-07 00:20:00	160	1.50	83.6	-1.25	0.83	0.10	0.13	6.19E+04	*	0
2025-03-07 00:20:00	170	1.68	82.7	-1.41	0.91	0.09	0.11	6.64E+04	*	0
2025-03-07 00:20:00	180	1.84	82.7	-1.55	0.99	0.05	0.11	6.07E+04	*	0
2025-03-07 00:20:00	190	2.06	79.2	-1.80	1.01	0.02	0.10	5.50E+04	*	0
2025-03-07 00:20:00	200	2.16	80.9	-1.85	1.11	0.02	0.12	6.19E+04	*	0
2025-03-07 00:20:00	210	2.39	78.6	-2.10	1.15	0.00	0.12	4.38E+04	*	0
2025-03-07 00:20:00	220	2.49	79.2	-2.18	1.22	0.02	0.13	3.70E+04	*	0
2025-03-07 00:20:00	230	2.70	76.7	-2.42	1.21	0.02	0.16	3.73E+04	*	0
2025-03-07 00:20:00	240	2.71	77.4	-2.40	1.24	0.04	0.17	3.38E+04	*	0
2025-03-07 00:20:00	250	2.50	78.9	-2.19	1.21	0.06	0.15	3.49E+04	*	0
2025-03-07 00:20:00	260	2.39	83.1	-2.00	1.31	0.06	0.14	5.03E+04	*	0
2025-03-07 00:20:00	270	2.38	88.6	-1.86	1.48	0.06	0.12	6.14E+04	*	0
2025-03-07 00:20:00	280	2.67	95.2	-1.88	1.89	0.03	0.14	9.08E+04	*	0
2025-03-07 00:20:00	290	2.87	101.7	-1.77	2.25	0.03	0.14	1.36E+05	*	0
2025-03-07 00:20:00	300	3.17	107.5	-1.70	2.67	0.03	0.15	1.53E+05	*	0
2025-03-07 00:20:00	310	3.36	109.9	-1.69	2.91	0.12	0.15	1.45E+05	*	0
2025-03-07 00:20:00	320	3.55	111.3	-1.71	3.12	0.17	0.16	1.28E+05	*	0
2025-03-07 00:20:00	330	3.61	111.8	-1.71	3.19	0.19	0.19	8.96E+04	*	0
2025-03-07 00:20:00	340	3.88	112.3	-1.80	3.44	0.19	0.28	*	*	0
2025-03-07 00:20:00	350	4.04	114.1	-1.76	3.63	0.25	0.32	4.81E+04	*	0
2025-03-07 00:20:00	360	4.16	115.5	-1.72	3.79	0.33	0.36	*	*	0
2025-03-07 00:20:00	370	4.00	118.2	-1.49	3.72	0.31	0.33	*	*	0
2025-03-07 00:20:00	380	4.01	118.9	-1.44	3.74	0.37	0.36	*	*	0
2025-03-07 00:20:00	390	3.95	116.1	-1.60	3.61	0.33	0.30	*	*	0
2025-03-07 00:20:00	400	3.90	110.7	-1.91	3.40	0.30	0.39	*	*	0
2025-03-07 00:20:00	410	3.68	108.0	-1.95	3.12	0.18	0.26	*	*	0
2025-03-07 00:20:00	420	3.54	107.9	-1.88	3.00	0.18	0.42	*	*	0
2025-03-07 00:20:00	430	3.37	119.0	-1.21	3.14	0.24	0.40	*	*	0
2025-03-07 00:20:00	440	3.77	119.1	-1.34	3.52	0.31	0.31	*	*	0
2025-03-07 00:20:00	450	3.84	125.6	-0.95	3.72	0.39	0.33	*	*	0
2025-03-07 00:20:00	460	4.04	118.0	-1.52	3.74	0.36	*	*	*	0
2025-03-07 00:20:00	470	3.47	119.7	-1.20	3.26	0.41	*	*	*	0
2025-03-07 00:20:00	480	3.85	113.8	-1.70	3.45	0.33	*	*	*	0
2025-03-07 00:20:00	490	4.04	114.5	-1.74	3.65	0.46	*	*	*	0
2025-03-07 00:20:00	500	4.34	116.1	-1.76	3.97	0.54	*	*	*	0
2025-03-07 00:40:00	30	2.32	293.7	1.03	-2.08	0.01	0.16	2.32E+07	*	0
2025-03-07 00:40:00	40	1.40	285.4	0.80	-1.16	0.08	0.15	9.06E+06	*	0
2025-03-07 00:40:00	50	0.76	252.3	0.70	-0.29	0.04	0.15	1.14E+07	*	0
2025-03-07 00:40:00	60	0.45	237.1	0.45	-0.06	0.16	0.14	5.16E+06	*	0
2025-03-07 00:40:00	70	0.33	175.4	0.19	0.27	0.08	0.16	3.34E+06	*	0
2025-03-07 00:40:00	80	0.50	122.2	-0.15	0.48	0.02	0.14	1.52E+06	*	0
2025-03-07 00:40:00	90	0.82	90.9	-0.62	0.54	0.00	0.14	1.40E+06	*	0
2025-03-07 00:40:00	100	1.12	81.0	-0.96	0.58	0.00	0.15	1.50E+06	*	0
2025-03-07 00:40:00	110	1.41	78.1	-1.24	0.66	0.05	0.13	6.64E+05	*	0
2025-03-07 00:40:00	120	1.56	80.3	-1.35	0.79	0.08	0.12	2.95E+05	*	0
2025-03-07 00:40:00	130	1.66	81.3	-1.42	0.86	0.10	0.12	1.34E+05	*	0
2025-03-07 00:40:00	140	1.61	81.9	-1.37	0.85	0.08	0.12	9.48E+04	*	0
2025-03-07 00:40:00	150	1.55	81.1	-1.33	0.80	0.08	0.12	7.64E+04	*	0
2025-03-07 00:40:00	160	1.43	79.7	-1.24	0.71	0.07	0.12	6.73E+04	*	0
2025-03-07 00:40:00	170	1.41	77.4	-1.25	0.65	0.11	0.11	6.75E+04	*	0
2025-03-07 00:40:00	180	1.31	74.5	-1.19	0.54	0.10	0.13	6.01E+04	*	0
2025-03-07 00:40:00	190	1.23	75.3	-1.11	0.53	0.10	0.15	5.96E+04	*	0
2025-03-07 00:40:00	200	1.01	80.6	-0.86	0.51	0.06	0.17	5.60E+04	*	0
2025-03-07 00:40:00	210	0.87	86.5	-0.70	0.52	0.07	0.18	4.85E+04	*	0
2025-03-07 00:40:00	220	0.85	83.2	-0.71	0.46	0.04	0.18	4.74E+04	*	0
2025-03-07 00:40:00	230	0.93	77.9	-0.82	0.44	0.02	0.20	5.26E+04	*	0
