time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-03-13 00:20:00	30	5.48	157.4	1.64	5.23	0.14	0.19	5.25E+05	*	0
2025-03-13 00:20:00	40	6.14	148.4	0.90	6.07	0.21	0.25	2.88E+05	*	0
2025-03-13 00:20:00	50	6.68	164.2	2.74	6.09	0.12	0.24	2.88E+05	*	0
2025-03-13 00:20:00	60	6.54	151.5	1.30	6.41	0.15	0.28	2.50E+05	*	0
2025-03-13 00:20:00	70	6.59	156.6	1.89	6.31	0.17	0.29	1.92E+05	*	0
2025-03-13 00:20:00	80	6.66	159.2	2.19	6.29	0.25	0.35	1.37E+05	*	0
2025-03-13 00:20:00	90	6.60	161.5	2.42	6.14	0.33	0.39	1.21E+05	*	0
2025-03-13 00:20:00	100	6.65	164.0	2.71	6.08	0.34	0.39	1.21E+05	*	0
2025-03-13 00:20:00	110	6.75	166.2	2.98	6.06	0.34	0.40	1.15E+05	*	0
2025-03-13 00:20:00	120	6.95	166.7	3.13	6.20	0.33	0.38	1.08E+05	*	0
2025-03-13 00:20:00	130	7.02	166.9	3.17	6.26	0.32	0.34	1.10E+05	*	0
2025-03-13 00:20:00	140	7.09	167.6	3.28	6.28	0.22	0.32	1.15E+05	*	0
2025-03-13 00:20:00	150	7.22	167.7	3.35	6.39	0.12	0.32	1.17E+05	*	0
2025-03-13 00:20:00	160	7.41	168.0	3.48	6.54	0.03	0.34	1.23E+05	*	0
2025-03-13 00:20:00	170	7.53	168.1	3.55	6.64	-0.05	0.38	1.18E+05	*	0
2025-03-13 00:20:00	180	7.58	167.8	3.53	6.70	-0.08	0.44	1.34E+05	*	0
2025-03-13 00:20:00	190	7.83	168.2	3.70	6.90	-0.11	0.43	1.34E+05	*	0
2025-03-13 00:20:00	200	8.06	168.5	3.85	7.09	-0.12	0.41	1.45E+05	*	0
2025-03-13 00:20:00	210	8.47	169.8	4.21	7.35	-0.13	0.36	1.51E+05	*	0
2025-03-13 00:20:00	220	8.70	169.6	4.29	7.57	-0.14	0.34	1.73E+05	*	0
