time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-04-15 00:20:00	30	10.94	109.1	-5.62	9.38	0.24	0.65	1.56E+06	*	0
2025-04-15 00:20:00	40	12.35	104.8	-7.11	10.10	0.34	0.54	5.40E+05	*	0
2025-04-15 00:20:00	50	13.67	107.0	-7.45	11.46	0.11	0.54	*	*	0
2025-04-15 00:20:00	60	14.09	120.0	-4.82	13.24	0.34	0.55	*	*	0
2025-04-15 00:20:00	70	13.61	116.7	-5.39	12.50	0.26	0.63	*	*	0
2025-04-15 00:20:00	80	13.40	110.7	-6.56	11.69	0.16	0.69	*	*	0
2025-04-15 00:20:00	90	13.70	106.1	-7.64	11.38	0.18	0.74	*	*	0
2025-04-15 00:20:00	100	13.56	105.8	-7.62	11.22	0.37	0.65	*	*	0
2025-04-15 00:20:00	110	13.11	104.9	-7.54	10.72	0.45	0.59	*	*	0
2025-04-15 00:20:00	120	12.94	101.6	-8.04	10.15	0.54	0.74	*	*	0
2025-04-15 00:20:00	130	13.31	100.7	-8.44	10.29	0.57	*	*	*	0
2025-04-15 00:20:00	140	14.32	99.9	-9.22	10.95	0.67	*	*	*	0
2025-04-15 00:20:00	150	14.41	102.4	-8.79	11.42	0.34	*	*	*	0
2025-04-15 00:20:00	160	14.56	105.0	-8.35	11.92	0.21	*	*	*	0
2025-04-15 00:20:00	170	14.98	107.1	-8.13	12.58	0.33	*	*	*	0
2025-04-15 00:20:00	180	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	190	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	200	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	210	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	220	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	230	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	240	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	250	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	260	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	270	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	280	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	290	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	300	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	310	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	320	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	330	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	340	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	350	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	360	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	370	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	380	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	390	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	400	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	410	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	420	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	430	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	440	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	450	*	*	*	*	*	*	*	*	0
2025-04-15 00:20:00	460	*	*	*	*	*	*	*	*	0
