time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-04-30 00:20:00	30	2.13	334.3	-0.52	-2.06	0.19	0.15	7.85E+06	*	0
2025-04-30 00:20:00	40	2.17	332.8	-0.48	-2.12	0.11	0.16	4.38E+06	*	0
2025-04-30 00:20:00	50	2.14	346.7	-0.96	-1.92	0.00	0.13	2.02E+06	*	0
2025-04-30 00:20:00	60	2.02	351.6	-1.06	-1.72	0.02	0.14	1.48E+06	*	0
2025-04-30 00:20:00	70	1.98	358.0	-1.22	-1.56	-0.01	0.15	1.26E+06	*	0
2025-04-30 00:20:00	80	1.84	5.3	-1.30	-1.29	-0.02	0.16	9.71E+05	*	0
2025-04-30 00:20:00	90	1.76	11.3	-1.37	-1.10	-0.01	0.17	1.16E+06	*	0
2025-04-30 00:20:00	100	1.74	19.6	-1.50	-0.88	0.02	0.18	9.58E+05	*	0
2025-04-30 00:20:00	110	1.75	25.9	-1.60	-0.71	0.05	0.18	6.25E+05	*	0
2025-04-30 00:20:00	120	1.63	35.9	-1.58	-0.40	0.06	0.18	3.89E+05	*	0
2025-04-30 00:20:00	130	1.50	45.0	-1.49	-0.13	0.08	0.19	2.60E+05	*	0
2025-04-30 00:20:00	140	1.44	57.1	-1.43	0.18	0.11	0.20	2.24E+05	*	0
2025-04-30 00:20:00	150	1.44	65.6	-1.39	0.39	0.15	0.20	1.82E+05	*	0
2025-04-30 00:20:00	160	1.52	76.2	-1.36	0.67	0.21	0.22	1.71E+05	*	0
2025-04-30 00:20:00	170	1.52	82.4	-1.28	0.81	0.23	0.24	1.60E+05	*	0
2025-04-30 00:20:00	180	1.64	91.4	-1.23	1.08	0.21	0.26	1.80E+05	*	0
2025-04-30 00:20:00	190	1.79	96.3	-1.24	1.30	0.20	0.29	1.51E+05	*	0
2025-04-30 00:20:00	200	1.96	98.7	-1.29	1.47	0.21	0.33	1.55E+05	*	0
2025-04-30 00:20:00	210	2.11	97.0	-1.44	1.54	0.24	0.36	1.79E+05	*	0
2025-04-30 00:20:00	220	2.23	95.9	-1.55	1.60	0.21	0.36	1.97E+05	*	0
2025-04-30 00:20:00	230	2.41	94.2	-1.73	1.68	0.17	0.35	2.19E+05	*	0
2025-04-30 00:20:00	240	2.50	96.1	-1.73	1.80	0.13	0.31	2.21E+05	*	0
2025-04-30 00:20:00	250	2.59	95.6	-1.81	1.85	0.16	0.29	2.54E+05	*	0
2025-04-30 00:20:00	260	2.76	97.5	-1.86	2.03	0.21	0.27	2.47E+05	*	0
2025-04-30 00:20:00	270	2.95	97.2	-2.01	2.17	0.27	0.26	2.86E+05	*	0
2025-04-30 00:20:00	280	3.13	96.8	-2.14	2.28	0.29	0.27	2.67E+05	*	0
2025-04-30 00:20:00	290	3.08	94.1	-2.21	2.14	0.28	0.32	3.11E+05	*	0
2025-04-30 00:20:00	300	3.07	91.5	-2.30	2.04	0.27	0.33	3.34E+05	*	0
2025-04-30 00:20:00	310	2.94	87.3	-2.34	1.78	0.28	0.37	3.79E+05	*	0
2025-04-30 00:20:00	320	2.85	85.7	-2.31	1.66	0.28	0.40	3.29E+05	*	0
2025-04-30 00:20:00	330	2.68	84.5	-2.21	1.52	0.28	0.42	3.32E+05	*	0
2025-04-30 00:20:00	340	2.60	83.8	-2.16	1.45	0.25	0.45	3.11E+05	*	0
2025-04-30 00:20:00	350	2.61	84.2	-2.16	1.46	0.20	0.47	3.89E+05	*	0
2025-04-30 00:20:00	360	2.64	80.9	-2.27	1.36	0.16	0.50	3.52E+05	*	0
