time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-04-02 00:20:00	30	6.36	45.2	-6.34	-0.53	-0.04	0.33	9.66E+05	*	0
2025-04-02 00:20:00	40	7.56	41.9	-7.49	-1.06	0.08	0.37	4.80E+05	*	0
2025-04-02 00:20:00	50	7.67	44.3	-7.63	-0.76	-0.08	0.35	4.35E+05	*	0
2025-04-02 00:20:00	60	6.49	42.8	-6.44	-0.82	-0.07	0.40	2.79E+05	*	0
2025-04-02 00:20:00	70	7.63	45.0	-7.60	-0.66	0.07	0.46	2.68E+05	*	0
2025-04-02 00:20:00	80	8.03	45.9	-8.01	-0.58	0.12	0.58	1.91E+05	*	0
2025-04-02 00:20:00	90	8.17	46.4	-8.15	-0.52	0.08	0.65	1.50E+05	*	0
2025-04-02 00:20:00	100	8.24	46.1	-8.22	-0.55	0.01	0.72	1.39E+05	*	0
2025-04-02 00:20:00	110	8.25	46.1	-8.23	-0.56	0.01	0.77	1.03E+05	*	0
2025-04-02 00:20:00	120	8.17	46.9	-8.16	-0.45	0.01	0.82	1.13E+05	*	0
2025-04-02 00:20:00	130	8.03	47.7	-8.02	-0.32	-0.03	0.84	1.17E+05	*	0
2025-04-02 00:20:00	140	8.06	49.0	-8.06	-0.14	-0.13	0.87	9.28E+04	*	0
2025-04-02 00:20:00	150	8.22	49.4	-8.22	-0.08	-0.25	0.87	9.00E+04	*	0
2025-04-02 00:20:00	160	8.18	49.4	-8.18	-0.09	-0.25	0.85	9.36E+04	*	0
2025-04-02 00:20:00	170	8.53	48.7	-8.53	-0.19	-0.21	0.83	8.74E+04	*	0
2025-04-02 00:20:00	180	8.35	48.4	-8.35	-0.24	-0.15	0.82	9.90E+04	*	0
2025-04-02 00:20:00	190	8.63	48.8	-8.63	-0.19	-0.15	0.80	8.28E+04	*	0
2025-04-02 00:20:00	200	8.61	48.5	-8.61	-0.23	-0.15	0.80	9.11E+04	*	0
2025-04-02 00:20:00	210	8.91	47.6	-8.90	-0.37	-0.10	0.82	9.78E+04	*	0
2025-04-02 00:20:00	220	8.70	47.2	-8.69	-0.43	-0.10	0.88	1.09E+05	*	0
2025-04-02 00:20:00	230	8.35	47.1	-8.34	-0.42	-0.16	0.93	1.10E+05	*	0
2025-04-02 00:20:00	240	8.19	47.9	-8.19	-0.30	-0.23	0.96	1.07E+05	*	0
2025-04-02 00:20:00	250	8.00	47.7	-7.99	-0.32	-0.22	1.00	1.44E+05	*	0
2025-04-02 00:20:00	260	7.87	47.0	-7.86	-0.41	-0.21	1.03	1.43E+05	*	0
2025-04-02 00:20:00	270	7.60	45.6	-7.58	-0.58	-0.24	1.05	1.23E+05	*	0
2025-04-02 00:20:00	280	7.67	46.3	-7.65	-0.49	-0.35	1.09	1.22E+05	*	0
2025-04-02 00:20:00	290	7.86	47.9	-7.85	-0.29	-0.37	1.07	1.39E+05	*	0
2025-04-02 00:20:00	300	7.95	49.8	-7.95	-0.02	-0.36	1.04	1.54E+05	*	0
2025-04-02 00:20:00	310	7.89	50.0	-7.89	0.00	-0.32	1.07	2.01E+05	*	0
2025-04-02 00:20:00	320	7.89	49.9	-7.89	-0.01	-0.30	1.09	1.72E+05	*	0
2025-04-02 00:20:00	330	8.27	49.8	-8.27	-0.04	-0.35	1.12	2.48E+05	*	0
2025-04-02 00:20:00	340	9.04	50.0	-9.04	0.00	-0.45	1.14	2.64E+05	*	0
2025-04-02 00:20:00	350	9.18	50.3	-9.18	0.04	-0.60	1.18	2.11E+05	*	0
2025-04-02 00:20:00	360	9.12	51.4	-9.12	0.22	-0.72	1.20	2.73E+05	*	0
2025-04-02 00:20:00	370	9.58	51.2	-9.58	0.20	-0.65	1.18	2.44E+05	*	0
2025-04-02 00:20:00	380	9.80	51.2	-9.80	0.20	-0.55	1.21	*	*	0
2025-04-02 00:20:00	390	10.22	49.6	-10.22	-0.08	-0.51	1.14	2.28E+05	*	0
2025-04-02 00:20:00	400	9.51	48.7	-9.51	-0.21	-0.54	1.02	*	*	0
2025-04-02 00:20:00	410	9.28	50.6	-9.28	0.10	-0.56	1.16	*	*	0
2025-04-02 00:20:00	420	8.82	53.5	-8.80	0.53	-0.41	1.19	*	*	0
2025-04-02 00:20:00	430	9.10	55.8	-9.06	0.91	-0.25	1.51	*	*	0
2025-04-02 00:20:00	440	9.37	54.0	-9.35	0.65	-0.13	1.56	*	*	0
2025-04-02 00:20:00	450	9.13	52.2	-9.13	0.35	-0.14	1.58	*	*	0
2025-04-02 00:20:00	460	8.84	51.0	-8.84	0.16	-0.05	1.62	*	*	0
2025-04-02 00:20:00	470	8.92	48.9	-8.92	-0.17	-0.01	1.61	*	*	0
2025-04-02 00:20:00	480	9.48	50.7	-9.48	0.12	0.08	1.73	*	*	0
2025-04-02 00:20:00	490	9.59	52.9	-9.58	0.49	0.02	1.62	*	*	0
2025-04-02 00:20:00	500	8.96	55.1	-8.93	0.79	0.19	1.72	*	*	0
2025-04-02 00:40:00	30	5.55	38.4	-5.43	-1.11	0.20	0.57	8.82E+05	*	256
