time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-03-28 00:20:00	30	0.36	342.2	-0.14	-0.34	-0.36	0.12	1.11E+05	*	0
2025-03-28 00:20:00	40	0.80	8.4	-0.60	-0.53	0.05	0.12	6.08E+04	*	0
2025-03-28 00:20:00	50	1.01	327.6	-0.13	-1.00	0.00	0.13	1.23E+05	*	0
2025-03-28 00:20:00	60	1.05	312.7	0.13	-1.04	-0.05	0.13	2.17E+05	*	0
2025-03-28 00:20:00	70	1.19	308.5	0.24	-1.16	-0.04	0.13	1.91E+05	*	0
2025-03-28 00:20:00	80	1.30	303.4	0.37	-1.25	-0.04	0.15	1.75E+05	*	0
2025-03-28 00:20:00	90	1.42	298.0	0.53	-1.32	-0.07	0.16	1.82E+05	*	0
2025-03-28 00:20:00	100	1.52	295.6	0.63	-1.39	-0.10	0.17	1.05E+05	*	0
2025-03-28 00:20:00	110	1.60	295.0	0.68	-1.45	-0.14	0.18	6.83E+04	*	0
2025-03-28 00:20:00	120	1.54	294.1	0.67	-1.39	-0.16	0.18	8.14E+04	*	0
2025-03-28 00:20:00	130	1.47	289.5	0.75	-1.27	-0.15	0.16	5.00E+04	*	0
2025-03-28 00:20:00	140	1.36	286.8	0.74	-1.14	-0.14	0.16	5.51E+04	*	0
2025-03-28 00:20:00	150	1.41	285.9	0.79	-1.17	-0.13	0.17	4.40E+04	*	0
2025-03-28 00:20:00	160	1.42	290.7	0.69	-1.24	-0.16	0.18	4.31E+04	*	0
2025-03-28 00:20:00	170	1.52	292.7	0.70	-1.35	-0.17	0.19	4.93E+04	*	0
2025-03-28 00:20:00	180	1.48	298.2	0.55	-1.38	-0.13	0.23	4.22E+04	*	0
2025-03-28 00:20:00	190	1.57	296.4	0.63	-1.44	-0.12	0.28	5.43E+04	*	0
2025-03-28 00:20:00	200	1.51	298.1	0.56	-1.40	-0.10	0.33	3.90E+04	*	0
2025-03-28 00:20:00	210	1.42	292.0	0.67	-1.26	-0.10	0.33	3.56E+04	*	0
2025-03-28 00:20:00	220	1.37	280.9	0.86	-1.06	-0.11	0.32	4.50E+04	*	0
2025-03-28 00:20:00	230	1.33	272.2	0.98	-0.89	-0.07	0.30	5.85E+04	*	0
2025-03-28 00:20:00	240	1.32	271.8	0.98	-0.88	-0.09	0.28	5.44E+04	*	0
2025-03-28 00:20:00	250	1.53	290.4	0.76	-1.33	-0.10	0.29	4.13E+04	*	0
2025-03-28 00:20:00	260	1.92	297.0	0.75	-1.76	-0.09	0.34	4.04E+04	*	0
2025-03-28 00:20:00	270	2.10	290.6	1.03	-1.83	-0.07	0.37	*	*	0
2025-03-28 00:20:00	280	1.72	283.2	1.03	-1.38	-0.08	0.38	7.87E+04	*	0
2025-03-28 00:20:00	290	1.64	286.0	0.92	-1.36	-0.23	0.42	1.31E+05	*	0
2025-03-28 00:20:00	300	1.61	285.8	0.90	-1.33	-0.35	*	7.55E+04	*	0
