time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-04-23 00:20:00	30	1.04	292.0	0.49	-0.92	0.06	0.16	2.67E+06	*	0
2025-04-23 00:20:00	40	0.60	322.9	-0.03	-0.60	0.08	0.16	1.99E+06	*	0
2025-04-23 00:20:00	50	0.57	347.8	-0.27	-0.51	-0.05	0.16	1.90E+06	*	0
2025-04-23 00:20:00	60	0.69	349.5	-0.34	-0.60	-0.08	0.14	6.48E+05	*	0
2025-04-23 00:20:00	70	0.86	349.1	-0.42	-0.75	-0.02	0.14	3.74E+05	*	0
2025-04-23 00:20:00	80	1.06	353.4	-0.58	-0.89	0.01	0.15	2.98E+05	*	0
2025-04-23 00:20:00	90	1.26	359.0	-0.79	-0.98	0.00	0.16	2.51E+05	*	0
2025-04-23 00:20:00	100	1.38	0.2	-0.89	-1.06	0.02	0.17	1.77E+05	*	0
2025-04-23 00:20:00	110	1.48	1.7	-0.99	-1.11	0.05	0.18	1.30E+05	*	0
2025-04-23 00:20:00	120	1.50	1.7	-1.00	-1.12	0.07	0.21	1.51E+05	*	0
2025-04-23 00:20:00	130	1.44	1.7	-0.96	-1.08	0.10	0.21	1.14E+05	*	0
2025-04-23 00:20:00	140	1.26	358.6	-0.79	-0.99	0.09	0.22	1.00E+05	*	0
2025-04-23 00:20:00	150	1.05	355.9	-0.61	-0.85	0.09	0.22	1.09E+05	*	0
2025-04-23 00:20:00	160	0.86	357.8	-0.53	-0.68	0.09	0.23	1.14E+05	*	0
2025-04-23 00:20:00	170	0.66	0.8	-0.43	-0.50	0.11	0.22	8.92E+04	*	0
2025-04-23 00:20:00	180	0.56	16.2	-0.47	-0.31	0.16	0.22	8.75E+04	*	0
2025-04-23 00:20:00	190	0.56	36.5	-0.55	-0.13	0.13	0.21	8.00E+04	*	0
2025-04-23 00:20:00	200	0.61	58.4	-0.60	0.09	0.08	0.21	5.09E+04	*	0
2025-04-23 00:20:00	210	0.68	68.7	-0.64	0.22	0.02	0.21	3.98E+04	*	0
2025-04-23 00:20:00	220	0.70	79.9	-0.61	0.35	0.02	0.25	2.71E+04	*	0
2025-04-23 00:20:00	230	0.82	76.1	-0.73	0.36	0.02	0.26	2.19E+04	*	0
2025-04-23 00:20:00	240	0.88	76.1	-0.79	0.39	-0.06	0.28	1.78E+04	*	0
2025-04-23 00:20:00	250	0.72	73.8	-0.66	0.29	-0.10	0.29	*	*	0
2025-04-23 00:20:00	260	0.47	77.8	-0.41	0.22	-0.23	0.31	*	*	0
2025-04-23 00:20:00	270	0.34	83.2	-0.29	0.19	-0.11	0.31	3.62E+04	*	0
2025-04-23 00:20:00	280	0.47	80.9	-0.41	0.24	-0.09	0.32	5.16E+04	*	0
2025-04-23 00:20:00	290	0.75	76.8	-0.67	0.34	0.03	0.37	5.83E+04	*	0
2025-04-23 00:20:00	300	0.82	79.1	-0.71	0.40	-0.02	0.41	7.99E+04	*	0
2025-04-23 00:20:00	310	0.96	79.7	-0.84	0.48	-0.05	0.40	5.01E+04	*	0
2025-04-23 00:20:00	320	0.85	87.1	-0.68	0.51	-0.07	0.36	5.54E+04	*	0
2025-04-23 00:20:00	330	0.86	96.0	-0.60	0.62	-0.05	0.41	*	*	0
2025-04-23 00:20:00	340	0.75	104.4	-0.44	0.61	0.01	0.45	*	*	0
2025-04-23 00:20:00	350	0.89	106.9	-0.49	0.74	0.07	0.43	*	*	0
2025-04-23 00:20:00	360	0.94	107.0	-0.51	0.78	0.03	*	*	*	0
2025-04-23 00:20:00	370	1.06	104.1	-0.62	0.86	0.02	*	*	*	0
2025-04-23 00:20:00	380	1.03	108.1	-0.54	0.87	0.03	*	*	*	0
2025-04-23 00:20:00	390	1.01	119.7	-0.35	0.94	0.05	*	*	*	0
2025-04-23 00:20:00	400	0.92	133.8	-0.10	0.92	0.03	*	1.18E+05	*	0
2025-04-23 00:20:00	410	1.06	143.2	0.06	1.06	-0.03	*	*	*	0
2025-04-23 00:20:00	420	1.20	131.6	-0.17	1.19	-0.03	*	*	*	0
2025-04-23 00:20:00	430	1.72	129.6	-0.31	1.70	-0.04	*	*	*	0
2025-04-23 00:20:00	440	1.65	114.4	-0.71	1.49	-0.06	*	*	*	0
2025-04-23 00:20:00	450	2.13	106.6	-1.17	1.78	-0.11	*	*	*	0
2025-04-23 00:20:00	460	2.10	96.5	-1.44	1.52	-0.16	*	*	*	0
2025-04-23 00:20:00	470	2.55	120.1	-0.87	2.40	-0.15	*	*	*	0
2025-04-23 00:20:00	480	2.29	136.2	-0.15	2.29	-0.20	*	*	*	0
2025-04-23 00:20:00	490	2.23	142.9	0.11	2.23	-0.19	*	*	*	0
2025-04-23 00:20:00	500	1.96	129.3	-0.36	1.92	-0.25	*	*	*	0
2025-04-23 00:40:00	30	2.53	283.5	1.51	-2.04	0.07	0.16	3.90E+06	*	0
2025-04-23 00:40:00	40	2.10	288.2	1.11	-1.79	0.10	0.16	2.32E+06	*	0
2025-04-23 00:40:00	50	1.73	290.3	0.86	-1.51	0.03	0.16	9.81E+05	*	0
2025-04-23 00:40:00	60	1.24	296.6	0.49	-1.14	0.08	0.15	4.87E+05	*	0
2025-04-23 00:40:00	70	1.00	295.6	0.41	-0.91	0.08	0.14	2.34E+05	*	0
2025-04-23 00:40:00	80	0.80	296.6	0.32	-0.73	0.05	0.11	2.57E+05	*	0
2025-04-23 00:40:00	90	0.65	299.6	0.23	-0.61	-0.01	0.12	4.01E+05	*	0
2025-04-23 00:40:00	100	0.57	310.4	0.09	-0.56	-0.05	0.13	3.52E+05	*	0
2025-04-23 00:40:00	110	0.57	332.7	-0.13	-0.56	-0.07	0.14	2.82E+05	*	0
2025-04-23 00:40:00	120	0.68	353.0	-0.37	-0.57	-0.05	0.15	1.28E+05	*	0
2025-04-23 00:40:00	130	0.80	2.6	-0.54	-0.59	-0.06	0.17	6.53E+04	*	0
2025-04-23 00:40:00	140	0.81	359.4	-0.51	-0.62	-0.06	0.17	5.33E+04	*	0
2025-04-23 00:40:00	150	0.78	356.0	-0.46	-0.63	-0.05	0.16	6.01E+04	*	0
2025-04-23 00:40:00	160	0.71	347.8	-0.33	-0.62	-0.05	0.16	7.47E+04	*	0
2025-04-23 00:40:00	170	0.58	345.1	-0.25	-0.52	-0.03	0.14	7.47E+04	*	0
2025-04-23 00:40:00	180	0.47	344.2	-0.19	-0.43	-0.02	0.14	8.61E+04	*	0
2025-04-23 00:40:00	190	0.31	341.1	-0.11	-0.29	0.02	0.15	5.29E+04	*	0
2025-04-23 00:40:00	200	0.21	6.0	-0.15	-0.15	0.04	0.12	5.37E+04	*	0
2025-04-23 00:40:00	210	0.24	72.6	-0.22	0.09	0.03	0.12	6.27E+04	*	0
2025-04-23 00:40:00	220	0.41	88.6	-0.32	0.25	0.03	0.17	7.37E+04	*	0
2025-04-23 00:40:00	230	0.49	100.9	-0.31	0.38	0.03	0.20	6.49E+04	*	0
2025-04-23 00:40:00	240	0.57	120.8	-0.19	0.54	0.03	0.30	7.06E+04	*	0
2025-04-23 00:40:00	250	0.60	135.3	-0.05	0.60	0.01	0.27	6.61E+04	*	0
2025-04-23 00:40:00	260	0.65	128.8	-0.13	0.64	-0.02	0.39	6.95E+04	*	0
2025-04-23 00:40:00	270	0.63	119.4	-0.22	0.59	0.00	0.30	9.01E+04	*	0
2025-04-23 00:40:00	280	0.67	115.9	-0.28	0.62	0.03	0.32	8.45E+04	*	0
2025-04-23 00:40:00	290	0.60	130.7	-0.10	0.59	0.06	0.30	9.28E+04	*	0
2025-04-23 00:40:00	300	0.70	119.8	-0.24	0.66	0.10	0.30	1.02E+05	*	0
2025-04-23 00:40:00	310	0.83	112.3	-0.39	0.73	0.08	0.29	1.47E+05	*	0
2025-04-23 00:40:00	320	1.08	104.4	-0.63	0.88	0.11	0.29	1.37E+05	*	0
2025-04-23 00:40:00	330	1.11	103.3	-0.67	0.89	0.06	0.31	9.94E+04	*	0
2025-04-23 00:40:00	340	1.25	103.2	-0.75	1.00	0.11	0.30	8.33E+04	*	0
2025-04-23 00:40:00	350	1.27	108.9	-0.65	1.08	0.16	0.37	9.84E+04	*	0
2025-04-23 00:40:00	360	1.48	116.2	-0.60	1.35	0.23	0.41	*	*	0
2025-04-23 00:40:00	370	1.75	121.9	-0.54	1.67	0.25	0.39	*	*	0
2025-04-23 00:40:00	380	1.86	121.3	-0.60	1.77	0.23	0.45	*	*	0
2025-04-23 00:40:00	390	1.70	131.7	-0.25	1.69	0.21	0.47	*	*	0
2025-04-23 00:40:00	400	1.67	154.1	0.41	1.62	0.24	0.36	*	*	0
2025-04-23 00:40:00	410	1.85	155.1	0.48	1.79	0.24	0.30	*	*	0
2025-04-23 00:40:00	420	1.98	138.8	-0.04	1.98	0.28	0.18	*	*	0
2025-04-23 00:40:00	430	2.13	114.5	-0.92	1.92	0.24	0.34	*	*	0
2025-04-23 00:40:00	440	2.19	116.0	-0.89	2.00	0.14	0.25	*	*	0
2025-04-23 00:40:00	450	2.07	121.3	-0.66	1.96	0.09	0.37	*	*	0
2025-04-23 00:40:00	460	1.89	125.2	-0.48	1.83	0.14	0.49	*	*	0
2025-04-23 00:40:00	470	2.03	106.2	-1.13	1.69	0.22	0.54	*	*	0
2025-04-23 00:40:00	480	1.96	111.4	-0.94	1.73	0.05	*	*	*	0
2025-04-23 00:40:00	490	1.98	115.4	-0.82	1.80	-0.03	*	*	*	0
2025-04-23 00:40:00	500	1.76	115.4	-0.73	1.60	-0.08	*	*	*	0
2025-04-23 01:00:00	30	1.26	327.2	-0.16	-1.25	0.05	0.16	2.50E+06	*	0
2025-04-23 01:00:00	40	0.92	340.2	-0.32	-0.87	0.10	0.13	2.29E+06	*	0
2025-04-23 01:00:00	50	0.64	5.9	-0.46	-0.44	0.02	0.13	9.87E+05	*	0
2025-04-23 01:00:00	60	0.42	12.6	-0.33	-0.25	0.04	0.12	4.83E+05	*	0
2025-04-23 01:00:00	70	0.57	31.2	-0.54	-0.18	0.02	0.12	1.76E+05	*	0
2025-04-23 01:00:00	80	0.75	38.7	-0.73	-0.15	0.01	0.10	1.22E+05	*	0
2025-04-23 01:00:00	90	0.87	39.7	-0.85	-0.16	0.01	0.10	1.37E+05	*	0
2025-04-23 01:00:00	100	0.96	38.7	-0.94	-0.19	0.02	0.11	9.22E+04	*	0
2025-04-23 01:00:00	110	1.06	34.5	-1.02	-0.28	0.02	0.12	9.15E+04	*	0
2025-04-23 01:00:00	120	1.11	33.4	-1.07	-0.32	0.01	0.12	1.05E+05	*	0
2025-04-23 01:00:00	130	1.21	30.9	-1.14	-0.39	-0.01	0.13	6.45E+04	*	0
2025-04-23 01:00:00	140	1.12	28.5	-1.04	-0.41	-0.02	0.14	4.83E+04	*	0
2025-04-23 01:00:00	150	1.08	25.1	-0.98	-0.45	-0.02	0.13	4.53E+04	*	0
2025-04-23 01:00:00	160	0.93	23.7	-0.83	-0.41	-0.01	0.15	8.16E+04	*	0
2025-04-23 01:00:00	170	0.84	27.5	-0.78	-0.32	0.00	0.15	9.66E+04	*	0
2025-04-23 01:00:00	180	0.74	36.7	-0.72	-0.17	0.01	0.16	1.26E+05	*	0
2025-04-23 01:00:00	190	0.66	46.8	-0.66	-0.04	0.02	0.17	1.15E+05	*	0
2025-04-23 01:00:00	200	0.61	64.6	-0.59	0.15	0.03	0.17	1.37E+05	*	0
2025-04-23 01:00:00	210	0.64	74.2	-0.59	0.26	0.05	0.15	1.37E+05	*	0
2025-04-23 01:00:00	220	0.77	81.1	-0.66	0.40	0.07	0.16	1.08E+05	*	0
2025-04-23 01:00:00	230	0.88	82.6	-0.75	0.48	0.10	0.16	9.57E+04	*	0
2025-04-23 01:00:00	240	1.01	90.8	-0.76	0.66	0.13	0.17	9.15E+04	*	0
2025-04-23 01:00:00	250	1.14	96.6	-0.78	0.83	0.14	0.19	8.41E+04	*	0
2025-04-23 01:00:00	260	1.29	98.1	-0.86	0.96	0.14	0.21	7.18E+04	*	0
2025-04-23 01:00:00	270	1.42	98.0	-0.95	1.05	0.16	0.22	6.77E+04	*	0
2025-04-23 01:00:00	280	1.55	101.9	-0.96	1.22	0.17	0.22	6.61E+04	*	0
2025-04-23 01:00:00	290	1.57	104.0	-0.93	1.27	0.17	0.23	7.09E+04	*	0
2025-04-23 01:00:00	300	1.66	104.2	-0.97	1.35	0.16	0.25	6.77E+04	*	0
2025-04-23 01:00:00	310	1.75	103.7	-1.03	1.41	0.17	0.28	5.65E+04	*	0
2025-04-23 01:00:00	320	1.96	104.9	-1.13	1.60	0.19	0.28	4.55E+04	*	0
2025-04-23 01:00:00	330	2.21	107.5	-1.19	1.87	0.20	0.32	*	*	0
2025-04-23 01:00:00	340	2.46	102.4	-1.50	1.95	0.13	*	*	*	0
2025-04-23 01:00:00	350	2.42	111.4	-1.16	2.13	0.11	*	*	*	0
2025-04-23 01:00:00	360	2.30	114.5	-0.99	2.07	0.02	0.36	*	*	0
2025-04-23 01:00:00	370	2.24	124.8	-0.59	2.16	0.22	*	*	*	0
2025-04-23 01:00:00	380	2.43	118.0	-0.91	2.26	0.35	0.32	*	*	0
2025-04-23 01:00:00	390	2.67	103.7	-1.59	2.15	0.34	*	*	*	0
2025-04-23 01:00:00	400	2.10	111.0	-1.02	1.84	0.09	0.21	*	*	0
2025-04-23 01:00:00	410	1.89	102.3	-1.16	1.50	0.00	0.36	*	*	0
2025-04-23 01:00:00	420	1.56	115.1	-0.65	1.41	0.06	0.46	*	*	0
2025-04-23 01:00:00	430	2.27	98.0	-1.52	1.69	0.07	*	*	*	0
2025-04-23 01:00:00	440	2.24	99.3	-1.46	1.70	0.06	*	*	*	0
2025-04-23 01:00:00	450	2.50	93.7	-1.81	1.73	-0.13	*	*	*	0
2025-04-23 01:00:00	460	1.94	100.5	-1.24	1.50	-0.06	*	*	*	0
2025-04-23 01:00:00	470	2.35	88.9	-1.82	1.47	0.13	*	1.72E+05	*	0
2025-04-23 01:00:00	480	2.00	87.4	-1.59	1.22	0.41	*	*	*	0
