time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-04-04 00:20:00	30	3.17	295.7	1.30	-2.89	0.06	0.14	4.16E+06	*	0
2025-04-04 00:20:00	40	3.01	293.4	1.35	-2.69	0.10	0.15	3.15E+06	*	0
2025-04-04 00:20:00	50	2.62	294.0	1.15	-2.35	0.11	0.15	1.77E+06	*	0
2025-04-04 00:20:00	60	2.19	302.7	0.65	-2.09	0.06	0.15	1.11E+06	*	0
2025-04-04 00:20:00	70	1.82	303.9	0.51	-1.75	0.08	0.16	7.02E+05	*	0
2025-04-04 00:20:00	80	1.38	307.3	0.30	-1.35	0.07	0.15	4.18E+05	*	0
2025-04-04 00:20:00	90	0.96	315.1	0.08	-0.96	0.02	0.16	3.68E+05	*	0
2025-04-04 00:20:00	100	0.77	334.9	-0.20	-0.74	-0.03	0.15	4.60E+05	*	0
2025-04-04 00:20:00	110	0.84	359.2	-0.53	-0.65	-0.07	0.15	5.28E+05	*	0
2025-04-04 00:20:00	120	1.03	13.0	-0.82	-0.62	-0.06	0.15	4.82E+05	*	0
2025-04-04 00:20:00	130	1.26	20.3	-1.09	-0.62	-0.03	0.15	4.52E+05	*	0
2025-04-04 00:20:00	140	1.46	25.7	-1.33	-0.60	0.01	0.15	2.52E+05	*	0
2025-04-04 00:20:00	150	1.72	27.6	-1.59	-0.65	0.03	0.14	2.12E+05	*	0
2025-04-04 00:20:00	160	1.90	30.1	-1.78	-0.65	0.00	0.14	1.72E+05	*	0
2025-04-04 00:20:00	170	2.06	30.5	-1.94	-0.69	-0.03	0.15	1.30E+05	*	0
2025-04-04 00:20:00	180	2.18	31.6	-2.07	-0.69	-0.10	0.18	1.11E+05	*	0
2025-04-04 00:20:00	190	2.32	31.6	-2.20	-0.73	-0.14	0.21	8.39E+04	*	0
2025-04-04 00:20:00	200	2.27	30.8	-2.14	-0.75	-0.17	0.23	6.07E+04	*	0
2025-04-04 00:20:00	210	2.26	29.1	-2.11	-0.81	-0.17	0.23	5.42E+04	*	0
2025-04-04 00:20:00	220	2.26	30.2	-2.13	-0.76	-0.17	0.24	6.30E+04	*	0
2025-04-04 00:20:00	230	2.39	32.6	-2.28	-0.72	-0.18	0.26	4.44E+04	*	0
2025-04-04 00:20:00	240	2.22	34.9	-2.15	-0.58	-0.17	0.24	3.98E+04	*	0
2025-04-04 00:20:00	250	2.14	35.7	-2.07	-0.53	-0.16	0.25	3.81E+04	*	0
2025-04-04 00:20:00	260	2.14	38.5	-2.10	-0.43	-0.19	0.26	3.45E+04	*	0
2025-04-04 00:20:00	270	2.32	38.3	-2.27	-0.47	-0.17	0.29	3.27E+04	*	0
2025-04-04 00:20:00	280	2.43	38.1	-2.38	-0.50	-0.09	0.30	*	*	0
2025-04-04 00:20:00	290	2.60	38.5	-2.55	-0.52	-0.07	0.29	3.98E+04	*	0
2025-04-04 00:20:00	300	2.58	42.9	-2.56	-0.32	-0.15	0.28	4.09E+04	*	0
2025-04-04 00:20:00	310	2.56	47.9	-2.56	-0.09	-0.24	0.32	4.09E+04	*	0
2025-04-04 00:20:00	320	2.39	48.7	-2.39	-0.06	-0.22	0.33	4.35E+04	*	0
2025-04-04 00:20:00	330	2.72	47.6	-2.72	-0.12	-0.17	0.32	4.08E+04	*	0
2025-04-04 00:20:00	340	2.87	46.4	-2.87	-0.18	-0.10	0.32	5.03E+04	*	0
2025-04-04 00:20:00	350	3.02	50.1	-3.02	0.01	-0.06	0.29	5.10E+04	*	0
2025-04-04 00:20:00	360	2.97	55.1	-2.96	0.26	-0.04	0.30	*	*	0
2025-04-04 00:20:00	370	3.15	55.7	-3.13	0.31	-0.10	0.17	6.49E+04	*	0
2025-04-04 00:20:00	380	3.30	54.7	-3.29	0.27	-0.16	0.19	*	*	0
2025-04-04 00:20:00	390	3.34	52.4	-3.34	0.14	-0.20	0.19	*	*	0
2025-04-04 00:20:00	400	3.31	54.5	-3.30	0.26	-0.24	0.23	*	*	0
2025-04-04 00:20:00	410	3.50	54.5	-3.49	0.27	-0.16	0.26	*	*	0
2025-04-04 00:20:00	420	3.87	55.4	-3.85	0.36	-0.17	0.29	*	*	0
2025-04-04 00:20:00	430	4.14	55.9	-4.11	0.42	-0.05	0.34	*	*	0
2025-04-04 00:20:00	440	4.19	56.7	-4.16	0.49	0.00	0.33	*	*	0
2025-04-04 00:20:00	450	4.24	55.0	-4.22	0.37	0.12	0.29	*	*	0
2025-04-04 00:20:00	460	4.66	53.2	-4.66	0.26	0.18	0.28	*	*	0
2025-04-04 00:20:00	470	4.92	50.3	-4.92	0.02	0.13	0.36	*	*	0
2025-04-04 00:20:00	480	5.09	49.7	-5.09	-0.02	0.07	0.30	*	*	0
2025-04-04 00:20:00	490	4.82	46.6	-4.81	-0.29	-0.07	0.43	*	*	0
2025-04-04 00:20:00	500	4.98	51.3	-4.98	0.11	-0.01	0.63	*	*	0
2025-04-04 00:40:00	30	3.48	304.0	0.96	-3.35	0.12	0.12	2.71E+06	*	0
2025-04-04 00:40:00	40	3.39	301.4	1.08	-3.21	0.20	0.12	1.93E+06	*	0
2025-04-04 00:40:00	50	3.10	303.8	0.87	-2.97	0.16	0.11	1.65E+06	*	0
2025-04-04 00:40:00	60	2.61	307.1	0.58	-2.55	0.10	0.10	1.32E+06	*	0
2025-04-04 00:40:00	70	2.12	311.3	0.32	-2.10	0.08	0.09	9.56E+05	*	0
2025-04-04 00:40:00	80	1.68	318.3	0.05	-1.67	0.04	0.08	6.57E+05	*	0
2025-04-04 00:40:00	90	1.31	328.5	-0.19	-1.29	-0.01	0.10	5.83E+05	*	0
2025-04-04 00:40:00	100	1.18	346.9	-0.53	-1.05	-0.02	0.12	5.90E+05	*	0
2025-04-04 00:40:00	110	1.26	6.0	-0.91	-0.88	-0.03	0.13	5.35E+05	*	0
2025-04-04 00:40:00	120	1.49	20.9	-1.30	-0.73	-0.03	0.14	5.01E+05	*	0
2025-04-04 00:40:00	130	1.78	31.7	-1.69	-0.56	-0.04	0.14	3.97E+05	*	0
2025-04-04 00:40:00	140	2.09	37.6	-2.04	-0.45	-0.05	0.14	2.52E+05	*	0
2025-04-04 00:40:00	150	2.28	40.5	-2.24	-0.38	-0.06	0.14	1.78E+05	*	0
2025-04-04 00:40:00	160	2.42	41.0	-2.39	-0.38	-0.05	0.15	8.50E+04	*	0
2025-04-04 00:40:00	170	2.39	39.7	-2.35	-0.43	-0.05	0.16	5.77E+04	*	0
2025-04-04 00:40:00	180	2.46	38.4	-2.41	-0.50	-0.06	0.16	4.43E+04	*	0
2025-04-04 00:40:00	190	2.49	38.0	-2.44	-0.52	-0.09	0.16	3.22E+04	*	0
2025-04-04 00:40:00	200	2.42	37.5	-2.36	-0.53	-0.09	0.18	2.55E+04	*	0
2025-04-04 00:40:00	210	2.32	39.9	-2.29	-0.41	-0.09	0.18	3.41E+04	*	0
2025-04-04 00:40:00	220	2.17	43.2	-2.15	-0.26	-0.08	0.19	3.07E+04	*	0
2025-04-04 00:40:00	230	2.31	49.2	-2.31	-0.03	-0.13	0.22	3.09E+04	*	0
2025-04-04 00:40:00	240	2.30	48.7	-2.30	-0.05	-0.11	0.21	4.47E+04	*	0
2025-04-04 00:40:00	250	2.30	48.4	-2.30	-0.06	-0.11	0.23	3.99E+04	*	0
2025-04-04 00:40:00	260	2.29	50.4	-2.29	0.02	-0.11	0.24	4.87E+04	*	0
2025-04-04 00:40:00	270	2.32	53.9	-2.31	0.16	-0.15	0.25	7.98E+04	*	0
2025-04-04 00:40:00	280	2.47	57.4	-2.45	0.32	-0.20	0.25	5.10E+04	*	0
2025-04-04 00:40:00	290	2.53	57.9	-2.50	0.35	-0.16	0.22	4.88E+04	*	0
2025-04-04 00:40:00	300	2.44	60.1	-2.41	0.43	-0.14	0.26	5.78E+04	*	0
2025-04-04 00:40:00	310	2.34	61.5	-2.30	0.47	-0.08	0.30	6.07E+04	*	0
2025-04-04 00:40:00	320	2.24	64.7	-2.17	0.57	-0.04	0.31	9.05E+04	*	0
2025-04-04 00:40:00	330	2.32	64.5	-2.25	0.58	-0.05	0.27	7.78E+04	*	0
2025-04-04 00:40:00	340	2.31	66.8	-2.21	0.67	-0.08	0.33	6.02E+04	*	0
2025-04-04 00:40:00	350	2.31	66.2	-2.22	0.64	-0.13	0.36	6.78E+04	*	0
2025-04-04 00:40:00	360	2.20	65.3	-2.12	0.58	-0.10	0.42	*	*	0
2025-04-04 00:40:00	370	2.44	63.6	-2.38	0.58	-0.07	0.31	*	*	0
2025-04-04 00:40:00	380	2.39	65.6	-2.30	0.64	-0.10	0.30	8.56E+04	*	0
2025-04-04 00:40:00	390	2.62	69.3	-2.47	0.86	-0.25	0.37	*	*	0
2025-04-04 00:40:00	400	2.44	69.0	-2.30	0.79	-0.34	0.39	*	*	0
2025-04-04 00:40:00	410	2.62	70.1	-2.46	0.90	-0.41	0.42	*	*	0
2025-04-04 00:40:00	420	2.28	66.0	-2.19	0.63	-0.38	0.39	*	*	0
2025-04-04 00:40:00	430	2.09	68.5	-1.98	0.67	-0.36	0.46	*	*	0
2025-04-04 00:40:00	440	2.16	57.7	-2.14	0.29	-0.29	0.33	*	*	0
2025-04-04 00:40:00	450	2.71	61.1	-2.66	0.52	-0.11	0.37	*	*	0
2025-04-04 00:40:00	460	2.99	58.5	-2.96	0.44	-0.10	0.34	*	*	0
2025-04-04 00:40:00	470	3.31	59.5	-3.26	0.54	-0.18	0.35	*	*	0
2025-04-04 00:40:00	480	2.94	53.3	-2.94	0.17	-0.45	0.39	*	*	0
2025-04-04 00:40:00	490	3.40	50.0	-3.40	0.00	-0.39	0.45	*	*	0
2025-04-04 00:40:00	500	3.09	43.0	-3.07	-0.38	-0.39	*	*	*	0
2025-04-04 01:00:00	30	3.26	299.5	1.14	-3.05	0.09	0.11	3.05E+06	*	0
2025-04-04 01:00:00	40	3.06	306.4	0.72	-2.98	0.10	0.12	1.42E+06	*	0
2025-04-04 01:00:00	50	2.57	307.2	0.57	-2.50	0.09	0.11	9.97E+05	*	0
2025-04-04 01:00:00	60	1.96	313.7	0.22	-1.95	0.05	0.11	8.28E+05	*	0
2025-04-04 01:00:00	70	1.64	333.1	-0.37	-1.59	0.02	0.09	7.06E+05	*	0
2025-04-04 01:00:00	80	1.43	350.2	-0.72	-1.24	-0.01	0.10	4.44E+05	*	0
2025-04-04 01:00:00	90	1.35	4.1	-0.94	-0.97	-0.06	0.10	3.47E+05	*	0
2025-04-04 01:00:00	100	1.42	16.5	-1.19	-0.79	-0.08	0.10	4.85E+05	*	0
2025-04-04 01:00:00	110	1.63	25.0	-1.48	-0.69	-0.09	0.11	4.25E+05	*	0
2025-04-04 01:00:00	120	1.84	31.3	-1.74	-0.59	-0.08	0.12	2.38E+05	*	0
2025-04-04 01:00:00	130	1.96	35.2	-1.89	-0.50	-0.10	0.11	1.05E+05	*	0
2025-04-04 01:00:00	140	2.07	37.1	-2.01	-0.46	-0.12	0.12	4.76E+04	*	0
2025-04-04 01:00:00	150	2.13	37.2	-2.08	-0.47	-0.16	0.14	1.92E+04	*	0
2025-04-04 01:00:00	160	2.15	36.3	-2.09	-0.51	-0.23	0.15	1.93E+04	*	0
2025-04-04 01:00:00	170	2.08	36.9	-2.03	-0.47	-0.33	0.18	1.88E+04	*	0
2025-04-04 01:00:00	180	2.11	39.1	-2.07	-0.40	-0.32	0.21	1.90E+04	*	0
2025-04-04 01:00:00	190	2.14	41.6	-2.12	-0.31	-0.33	0.21	1.72E+04	*	0
2025-04-04 01:00:00	200	1.96	41.1	-1.94	-0.30	-0.32	0.20	1.72E+04	*	0
2025-04-04 01:00:00	210	1.93	41.0	-1.91	-0.30	-0.34	0.20	2.31E+04	*	0
2025-04-04 01:00:00	220	1.94	38.3	-1.90	-0.39	-0.33	0.21	2.61E+04	*	0
2025-04-04 01:00:00	230	2.18	40.3	-2.15	-0.37	-0.30	0.22	2.62E+04	*	0
2025-04-04 01:00:00	240	2.14	41.0	-2.12	-0.34	-0.30	0.27	3.14E+04	*	0
2025-04-04 01:00:00	250	2.18	45.0	-2.17	-0.19	-0.32	0.27	3.86E+04	*	0
2025-04-04 01:00:00	260	2.18	47.3	-2.18	-0.10	-0.27	0.27	2.77E+04	*	0
2025-04-04 01:00:00	270	2.28	45.5	-2.27	-0.18	-0.30	0.27	3.50E+04	*	0
2025-04-04 01:00:00	280	2.38	47.4	-2.38	-0.11	-0.32	0.28	4.20E+04	*	0
2025-04-04 01:00:00	290	2.60	44.8	-2.59	-0.24	-0.42	0.31	5.52E+04	*	0
2025-04-04 01:00:00	300	2.88	46.5	-2.87	-0.18	-0.50	0.38	4.48E+04	*	0
2025-04-04 01:00:00	310	2.86	42.7	-2.84	-0.36	-0.50	0.43	4.13E+04	*	0
2025-04-04 01:00:00	320	2.76	43.1	-2.74	-0.33	-0.44	0.33	3.60E+04	*	0
2025-04-04 01:00:00	330	2.83	44.6	-2.81	-0.27	-0.36	0.33	*	*	0
2025-04-04 01:00:00	340	3.06	46.7	-3.05	-0.17	-0.34	0.33	3.44E+04	*	0
2025-04-04 01:00:00	350	3.15	47.9	-3.15	-0.12	-0.35	0.37	4.51E+04	*	0
2025-04-04 01:00:00	360	3.04	49.7	-3.04	-0.02	-0.34	0.40	5.17E+04	*	0
2025-04-04 01:00:00	370	2.96	52.0	-2.96	0.10	-0.31	0.36	6.33E+04	*	0
