time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-03-02 00:20:00	30	3.49	60.3	-3.43	0.63	-0.23	0.19	1.63E+06	*	256
2025-03-02 00:20:00	40	3.45	58.8	-3.41	0.53	-0.13	0.20	8.49E+05	*	256
2025-03-02 00:20:00	50	3.86	61.6	-3.78	0.78	-0.20	0.21	7.37E+05	*	0
2025-03-02 00:20:00	60	3.26	62.6	-3.18	0.71	-0.22	0.24	8.24E+05	*	0
2025-03-02 00:20:00	70	3.85	60.5	-3.78	0.70	-0.17	0.25	6.89E+05	*	0
2025-03-02 00:20:00	80	4.28	60.4	-4.21	0.78	-0.16	0.28	5.11E+05	*	0
2025-03-02 00:20:00	90	4.64	59.9	-4.57	0.80	-0.16	0.28	5.10E+05	*	0
2025-03-02 00:20:00	100	4.91	59.5	-4.85	0.81	-0.18	0.28	5.16E+05	*	0
2025-03-02 00:20:00	110	5.19	58.6	-5.14	0.77	-0.17	0.26	5.70E+05	*	0
2025-03-02 00:20:00	120	5.46	58.3	-5.41	0.79	-0.16	0.29	6.64E+05	*	0
2025-03-02 00:20:00	130	5.70	58.5	-5.64	0.84	-0.10	0.30	5.40E+05	*	0
2025-03-02 00:20:00	140	5.83	58.8	-5.77	0.89	-0.03	0.30	5.17E+05	*	0
2025-03-02 00:20:00	150	6.04	58.6	-5.97	0.90	0.03	0.29	4.95E+05	*	0
2025-03-02 00:20:00	160	6.15	58.8	-6.07	0.94	0.06	0.32	5.51E+05	*	0
2025-03-02 00:20:00	170	6.30	59.5	-6.22	1.03	0.13	0.30	5.78E+05	*	0
2025-03-02 00:20:00	180	6.28	60.7	-6.17	1.16	0.17	0.29	6.63E+05	*	0
2025-03-02 00:20:00	190	6.34	61.9	-6.20	1.30	0.21	0.28	6.42E+05	*	0
2025-03-02 00:20:00	200	6.43	62.7	-6.27	1.42	0.17	0.27	6.18E+05	*	0
2025-03-02 00:20:00	210	6.55	63.7	-6.36	1.55	0.13	0.28	5.58E+05	*	0
2025-03-02 00:20:00	220	6.59	64.5	-6.38	1.65	0.09	0.30	4.96E+05	*	0
2025-03-02 00:20:00	230	6.63	65.0	-6.41	1.72	0.11	0.33	4.55E+05	*	0
2025-03-02 00:20:00	240	6.68	66.0	-6.42	1.84	0.15	0.36	3.69E+05	*	0
2025-03-02 00:20:00	250	6.75	66.8	-6.46	1.95	0.17	0.35	3.21E+05	*	0
2025-03-02 00:20:00	260	6.75	68.3	-6.41	2.12	0.19	0.40	2.81E+05	*	0
2025-03-02 00:20:00	270	6.70	69.7	-6.30	2.26	0.18	0.40	2.46E+05	*	0
2025-03-02 00:20:00	280	6.65	70.5	-6.23	2.32	0.21	0.40	2.20E+05	*	0
2025-03-02 00:20:00	290	6.61	71.7	-6.14	2.44	0.22	0.40	2.06E+05	*	0
2025-03-02 00:20:00	300	6.52	72.6	-6.02	2.51	0.27	0.39	2.10E+05	*	0
2025-03-02 00:20:00	310	6.47	74.8	-5.88	2.71	0.30	0.37	1.85E+05	*	0
2025-03-02 00:20:00	320	6.37	75.7	-5.74	2.77	0.32	0.35	1.70E+05	*	0
2025-03-02 00:20:00	330	6.41	76.9	-5.72	2.91	0.31	0.34	1.44E+05	*	0
2025-03-02 00:20:00	340	6.43	78.6	-5.65	3.08	0.29	0.31	1.36E+05	*	0
2025-03-02 00:20:00	350	6.52	80.1	-5.64	3.27	0.24	0.31	1.19E+05	*	0
2025-03-02 00:20:00	360	6.61	81.1	-5.66	3.42	0.23	0.30	1.23E+05	*	0
2025-03-02 00:20:00	370	6.70	81.4	-5.72	3.49	0.22	0.32	1.25E+05	*	256
