time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-04-29 00:20:00	30	0.80	336.6	-0.23	-0.77	0.03	0.13	1.22E+06	*	0
2025-04-29 00:20:00	40	0.74	346.5	-0.33	-0.66	0.07	0.13	1.57E+05	*	0
2025-04-29 00:20:00	50	0.53	320.2	0.00	-0.53	-0.06	0.12	8.77E+04	*	0
2025-04-29 00:20:00	60	0.60	352.9	-0.33	-0.51	-0.15	0.11	2.07E+05	*	0
2025-04-29 00:20:00	70	0.68	14.2	-0.55	-0.40	-0.07	0.11	3.06E+05	*	0
2025-04-29 00:20:00	80	0.76	30.2	-0.71	-0.26	-0.03	0.12	1.57E+05	*	0
2025-04-29 00:20:00	90	0.82	38.7	-0.80	-0.16	-0.03	0.12	1.26E+05	*	0
2025-04-29 00:20:00	100	0.89	43.3	-0.88	-0.10	-0.05	0.14	9.91E+04	*	0
2025-04-29 00:20:00	110	0.93	45.3	-0.93	-0.08	-0.08	0.15	8.81E+04	*	0
2025-04-29 00:20:00	120	1.01	48.5	-1.01	-0.03	-0.06	0.16	9.65E+04	*	0
2025-04-29 00:20:00	130	1.07	46.4	-1.07	-0.07	-0.06	0.16	9.77E+04	*	0
2025-04-29 00:20:00	140	1.14	44.6	-1.13	-0.11	-0.03	0.16	1.37E+05	*	0
2025-04-29 00:20:00	150	1.23	41.8	-1.22	-0.18	-0.01	0.14	1.29E+05	*	0
2025-04-29 00:20:00	160	1.34	40.9	-1.33	-0.21	0.01	0.13	1.29E+05	*	0
2025-04-29 00:20:00	170	1.45	39.8	-1.42	-0.25	0.01	0.13	1.51E+05	*	0
2025-04-29 00:20:00	180	1.52	41.3	-1.51	-0.23	0.00	0.14	1.71E+05	*	0
2025-04-29 00:20:00	190	1.60	40.4	-1.58	-0.27	0.02	0.16	1.88E+05	*	0
2025-04-29 00:20:00	200	1.65	40.4	-1.62	-0.27	0.05	0.18	2.09E+05	*	0
2025-04-29 00:20:00	210	1.79	39.0	-1.76	-0.34	0.07	0.21	2.93E+05	*	0
2025-04-29 00:20:00	220	1.94	40.9	-1.92	-0.31	0.08	0.22	2.93E+05	*	0
2025-04-29 00:20:00	230	2.25	42.4	-2.23	-0.30	0.09	0.24	2.95E+05	*	0
