time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-03-26 00:20:00	30	1.98	206.1	1.81	0.80	0.09	0.10	3.75E+05	*	0
2025-03-26 00:20:00	40	1.76	191.9	1.38	1.09	0.13	0.11	3.69E+05	*	0
2025-03-26 00:20:00	50	1.61	187.3	1.18	1.09	0.06	0.10	3.99E+05	*	0
2025-03-26 00:20:00	60	1.22	178.4	0.76	0.96	0.12	0.11	1.72E+05	*	0
2025-03-26 00:20:00	70	1.29	186.0	0.93	0.90	0.08	0.14	1.66E+05	*	0
2025-03-26 00:20:00	80	1.31	192.0	1.03	0.81	0.08	0.15	1.44E+05	*	0
2025-03-26 00:20:00	90	1.26	194.2	1.02	0.74	0.09	0.16	1.52E+05	*	0
2025-03-26 00:20:00	100	1.21	196.9	1.01	0.66	0.09	0.18	1.62E+05	*	0
2025-03-26 00:20:00	110	1.23	199.2	1.06	0.63	0.09	0.21	2.06E+05	*	0
2025-03-26 00:20:00	120	1.21	201.6	1.06	0.57	0.09	0.22	2.68E+05	*	0
2025-03-26 00:20:00	130	1.24	203.8	1.11	0.54	0.11	0.23	2.69E+05	*	0
2025-03-26 00:20:00	140	1.06	201.2	0.93	0.51	0.13	0.25	2.20E+05	*	0
2025-03-26 00:20:00	150	0.95	195.9	0.79	0.53	0.15	0.25	1.66E+05	*	0
2025-03-26 00:20:00	160	0.81	189.3	0.61	0.52	0.17	0.26	1.49E+05	*	0
2025-03-26 00:20:00	170	0.77	180.2	0.49	0.59	0.18	0.27	1.49E+05	*	0
2025-03-26 00:20:00	180	0.74	155.6	0.20	0.72	0.19	0.27	1.78E+05	*	0
2025-03-26 00:20:00	190	0.94	142.6	0.04	0.94	0.20	0.27	1.59E+05	*	0
2025-03-26 00:20:00	200	1.12	134.8	-0.10	1.12	0.21	0.29	1.78E+05	*	0
2025-03-26 00:20:00	210	1.29	135.3	-0.10	1.28	0.23	0.31	2.00E+05	*	0
2025-03-26 00:20:00	220	1.42	133.3	-0.17	1.41	0.29	0.32	1.43E+05	*	0
2025-03-26 00:20:00	230	1.65	132.1	-0.22	1.63	0.38	0.34	1.25E+05	*	0
2025-03-26 00:20:00	240	1.87	134.5	-0.18	1.87	0.38	0.37	1.06E+05	*	0
2025-03-26 00:20:00	250	2.00	138.3	-0.06	2.00	0.33	0.42	1.16E+05	*	0
2025-03-26 00:20:00	260	2.02	137.9	-0.07	2.01	0.21	0.39	1.26E+05	*	0
2025-03-26 00:20:00	270	1.97	134.9	-0.17	1.96	0.22	0.40	1.49E+05	*	0
2025-03-26 00:20:00	280	2.08	127.9	-0.44	2.04	0.21	0.56	1.57E+05	*	0
2025-03-26 00:20:00	290	2.28	130.3	-0.38	2.25	0.19	0.49	1.76E+05	*	0
2025-03-26 00:20:00	300	2.54	129.4	-0.47	2.50	0.16	0.48	2.03E+05	*	0
2025-03-26 00:20:00	310	2.70	131.4	-0.41	2.67	0.16	0.51	2.30E+05	*	0
2025-03-26 00:20:00	320	2.90	128.6	-0.58	2.85	0.30	0.48	2.23E+05	*	0
2025-03-26 00:20:00	330	3.04	128.9	-0.59	2.98	0.34	0.41	2.27E+05	*	0
2025-03-26 00:20:00	340	3.36	128.4	-0.68	3.29	0.34	0.50	1.82E+05	*	0
2025-03-26 00:20:00	350	3.47	123.3	-1.00	3.33	0.26	0.56	1.84E+05	*	0
2025-03-26 00:20:00	360	3.61	123.1	-1.05	3.45	0.29	*	1.83E+05	*	0
2025-03-26 00:20:00	370	3.36	120.7	-1.11	3.17	0.17	*	*	*	0
2025-03-26 00:20:00	380	*	*	*	*	0.14	*	*	*	0
2025-03-26 00:20:00	390	3.57	122.6	-1.07	3.41	-0.13	*	*	*	0
2025-03-26 00:20:00	400	3.89	127.7	-0.83	3.80	-0.04	*	*	*	0
2025-03-26 00:20:00	410	4.23	120.6	-1.41	3.99	*	*	*	*	0
2025-03-26 00:20:00	420	4.57	111.5	-2.18	4.02	*	*	*	*	0
2025-03-26 00:20:00	430	4.94	100.7	-3.13	3.83	*	*	*	*	0
2025-03-26 00:20:00	440	4.40	109.9	-2.20	3.81	0.15	*	*	*	0
2025-03-26 00:20:00	450	4.31	101.2	-2.70	3.36	*	*	*	*	0
2025-03-26 00:20:00	460	3.79	103.2	-2.27	3.04	*	*	*	*	0
2025-03-26 00:20:00	470	3.75	95.5	-2.62	2.68	*	*	*	*	0
2025-03-26 00:20:00	480	2.98	107.3	-1.61	2.50	*	*	*	*	0
2025-03-26 00:20:00	490	3.03	113.9	-1.33	2.72	*	*	*	*	0
2025-03-26 00:20:00	500	3.22	121.2	-1.04	3.04	*	*	*	*	0
2025-03-26 00:40:00	30	1.08	150.4	0.20	1.06	0.09	0.12	9.69E+05	*	0
2025-03-26 00:40:00	40	1.53	144.7	0.13	1.53	0.22	0.15	1.32E+06	*	0
2025-03-26 00:40:00	50	2.19	141.2	0.05	2.19	0.32	0.15	1.23E+06	*	0
2025-03-26 00:40:00	60	2.61	140.1	0.00	2.61	0.36	0.16	3.69E+05	*	0
2025-03-26 00:40:00	70	2.59	135.5	-0.20	2.58	0.39	0.17	2.74E+05	*	0
2025-03-26 00:40:00	80	2.67	132.2	-0.36	2.64	0.40	0.19	1.55E+05	*	0
2025-03-26 00:40:00	90	2.80	129.5	-0.51	2.75	0.40	0.21	1.17E+05	*	0
2025-03-26 00:40:00	100	2.99	128.6	-0.59	2.93	0.39	0.21	7.09E+04	*	0
2025-03-26 00:40:00	110	3.04	126.9	-0.69	2.96	0.35	0.22	6.19E+04	*	0
2025-03-26 00:40:00	120	3.07	126.7	-0.71	2.98	0.30	0.22	6.45E+04	*	0
2025-03-26 00:40:00	130	2.95	126.6	-0.68	2.87	0.21	0.23	6.90E+04	*	0
2025-03-26 00:40:00	140	2.90	126.7	-0.67	2.82	0.17	0.24	7.23E+04	*	0
2025-03-26 00:40:00	150	2.80	125.9	-0.68	2.72	0.17	0.25	7.70E+04	*	0
2025-03-26 00:40:00	160	2.80	124.8	-0.73	2.70	0.16	0.25	7.79E+04	*	0
2025-03-26 00:40:00	170	2.79	126.4	-0.66	2.71	0.11	0.26	7.43E+04	*	0
2025-03-26 00:40:00	180	2.78	127.3	-0.61	2.71	0.05	0.26	6.18E+04	*	0
2025-03-26 00:40:00	190	2.64	126.8	-0.60	2.57	0.02	0.27	5.93E+04	*	0
2025-03-26 00:40:00	200	2.52	126.1	-0.61	2.45	0.04	0.26	7.14E+04	*	0
2025-03-26 00:40:00	210	2.38	126.8	-0.54	2.31	0.08	0.27	5.59E+04	*	0
2025-03-26 00:40:00	220	2.39	127.5	-0.52	2.33	0.14	0.30	6.30E+04	*	0
2025-03-26 00:40:00	230	2.39	124.7	-0.63	2.31	0.19	0.32	6.80E+04	*	0
2025-03-26 00:40:00	240	2.52	124.1	-0.69	2.42	0.21	0.33	6.61E+04	*	0
2025-03-26 00:40:00	250	2.47	126.9	-0.56	2.41	0.23	0.38	8.16E+04	*	0
2025-03-26 00:40:00	260	2.51	128.5	-0.50	2.46	0.24	0.40	5.97E+04	*	0
2025-03-26 00:40:00	270	2.59	126.7	-0.59	2.52	0.31	0.37	5.04E+04	*	0
2025-03-26 00:40:00	280	2.65	124.9	-0.69	2.56	0.29	0.32	5.45E+04	*	0
2025-03-26 00:40:00	290	2.72	126.9	-0.62	2.65	0.25	0.41	6.40E+04	*	0
2025-03-26 00:40:00	300	2.65	127.3	-0.58	2.58	0.24	0.40	6.92E+04	*	0
2025-03-26 00:40:00	310	2.91	128.6	-0.58	2.85	0.30	0.49	5.95E+04	*	0
2025-03-26 00:40:00	320	3.10	129.9	-0.54	3.05	0.39	0.55	5.43E+04	*	0
2025-03-26 00:40:00	330	3.20	134.2	-0.32	3.18	0.43	*	*	*	0
