time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-04-27 00:20:00	30	4.31	31.0	-4.07	-1.40	0.05	0.19	4.17E+06	*	0
2025-04-27 00:20:00	40	4.86	32.3	-4.63	-1.48	0.06	0.16	2.32E+06	*	0
2025-04-27 00:20:00	50	4.71	36.8	-4.58	-1.08	0.05	0.16	1.38E+06	*	0
2025-04-27 00:20:00	60	4.82	40.8	-4.75	-0.77	0.02	0.17	1.04E+06	*	0
2025-04-27 00:20:00	70	5.16	42.7	-5.12	-0.65	0.03	0.19	7.92E+05	*	0
2025-04-27 00:20:00	80	5.39	44.9	-5.37	-0.48	0.03	0.20	7.08E+05	*	0
2025-04-27 00:20:00	90	5.54	46.4	-5.53	-0.34	0.01	0.22	4.89E+05	*	0
2025-04-27 00:20:00	100	5.61	47.7	-5.60	-0.22	-0.02	0.21	3.76E+05	*	0
2025-04-27 00:20:00	110	5.59	48.2	-5.58	-0.17	-0.03	0.20	3.29E+05	*	0
2025-04-27 00:20:00	120	5.44	48.8	-5.44	-0.11	-0.07	0.18	2.91E+05	*	0
2025-04-27 00:20:00	130	5.40	50.6	-5.40	0.06	-0.09	0.19	2.58E+05	*	0
2025-04-27 00:20:00	140	5.45	52.2	-5.45	0.21	-0.12	0.20	2.45E+05	*	0
2025-04-27 00:20:00	150	5.49	53.5	-5.48	0.34	-0.12	0.22	2.86E+05	*	0
2025-04-27 00:20:00	160	5.47	53.6	-5.46	0.35	-0.12	0.25	2.65E+05	*	0
2025-04-27 00:20:00	170	5.42	54.3	-5.40	0.41	-0.12	0.26	2.33E+05	*	0
2025-04-27 00:20:00	180	5.41	54.8	-5.39	0.46	-0.10	0.27	2.26E+05	*	0
2025-04-27 00:20:00	190	5.37	56.0	-5.35	0.56	-0.07	0.23	2.14E+05	*	0
2025-04-27 00:20:00	200	5.38	56.8	-5.34	0.64	-0.06	0.23	1.79E+05	*	0
2025-04-27 00:20:00	210	5.45	57.2	-5.41	0.68	-0.06	0.21	1.60E+05	*	0
2025-04-27 00:20:00	220	5.65	57.4	-5.60	0.73	-0.07	0.20	1.62E+05	*	0
2025-04-27 00:20:00	230	5.80	57.9	-5.75	0.79	-0.08	0.21	1.87E+05	*	0
2025-04-27 00:20:00	240	5.89	58.2	-5.83	0.84	-0.10	0.23	1.49E+05	*	0
2025-04-27 00:20:00	250	5.87	59.2	-5.80	0.94	-0.15	0.27	1.53E+05	*	0
2025-04-27 00:20:00	260	5.82	60.0	-5.73	1.01	-0.21	0.30	1.52E+05	*	0
2025-04-27 00:20:00	270	5.86	61.2	-5.74	1.14	-0.22	0.34	1.62E+05	*	0
