time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-04-11 00:20:00	30	3.49	347.7	-1.62	-3.09	0.47	0.18	1.51E+07	*	0
2025-04-11 00:20:00	40	4.46	352.0	-2.36	-3.78	0.55	0.17	6.60E+06	*	0
2025-04-11 00:20:00	50	4.99	352.5	-2.68	-4.21	0.56	0.20	5.56E+06	*	0
2025-04-11 00:20:00	60	5.66	350.3	-2.86	-4.89	0.61	0.19	4.45E+06	*	0
2025-04-11 00:20:00	70	5.94	353.2	-3.25	-4.97	0.66	0.21	2.63E+06	*	0
2025-04-11 00:20:00	80	6.26	355.0	-3.59	-5.13	0.70	0.23	1.76E+06	*	0
2025-04-11 00:20:00	90	6.53	355.9	-3.83	-5.29	0.73	0.25	1.18E+06	*	0
2025-04-11 00:20:00	100	6.75	357.3	-4.10	-5.37	0.77	0.26	1.18E+06	*	0
2025-04-11 00:20:00	110	6.91	359.2	-4.37	-5.35	0.74	0.28	8.67E+05	*	0
2025-04-11 00:20:00	120	6.99	0.5	-4.54	-5.32	0.73	0.29	6.89E+05	*	0
2025-04-11 00:20:00	130	7.14	1.4	-4.72	-5.35	0.74	0.28	4.63E+05	*	0
2025-04-11 00:20:00	140	7.21	1.9	-4.81	-5.37	0.75	0.27	3.60E+05	*	0
2025-04-11 00:20:00	150	7.18	1.8	-4.78	-5.35	0.68	0.28	2.08E+05	*	0
2025-04-11 00:20:00	160	7.03	1.6	-4.66	-5.26	0.53	0.28	1.00E+05	*	0
2025-04-11 00:20:00	170	6.93	1.1	-4.55	-5.23	0.42	0.29	6.52E+04	*	0
2025-04-11 00:20:00	180	6.84	1.5	-4.53	-5.12	0.43	0.27	3.64E+04	*	0
2025-04-11 00:20:00	190	6.82	1.0	-4.48	-5.15	0.51	0.30	2.21E+04	*	0
2025-04-11 00:20:00	200	6.27	359.0	-3.95	-4.87	0.61	0.34	2.03E+04	*	0
2025-04-11 00:20:00	210	5.82	357.1	-3.51	-4.64	0.48	0.38	1.91E+04	*	0
2025-04-11 00:20:00	220	5.58	358.2	-3.45	-4.38	0.40	0.32	*	*	0
2025-04-11 00:20:00	230	5.93	3.2	-4.06	-4.32	0.31	0.24	*	*	0
2025-04-11 00:20:00	240	6.19	5.5	-4.42	-4.34	0.42	0.30	2.40E+04	*	0
2025-04-11 00:20:00	250	6.13	4.5	-4.30	-4.37	0.45	0.35	2.38E+04	*	0
2025-04-11 00:20:00	260	6.13	0.8	-4.00	-4.64	0.45	0.52	*	*	0
2025-04-11 00:20:00	270	6.66	359.8	-4.26	-5.12	0.42	0.58	*	*	0
